Incident_2019	Incident_2020	Incident_2021	Incident_2022	Incident_2023	Incident_2024	Incident_2025
Field Contact/ Information	Applicant Taxi / Limo	Forgery  2C:21-1	Lo-Jack Hit - Tracking Signal	Detective Bureau Detail	Missing Person - Juvenile	Sexual Assault - 2C:14-2b
Juvenile Complaint (Non-Criminal)	Driving While Intoxicated   39:4-50	Criminal Sexual Contact  2C:14-3a	D.O.A	Sudden Death Investigation	Community Engagement - Crime Prevention	Sex Offender - Intent to Move
Abandoned 9-1-1Emergency	Robbery  2C:15-1	Escort - Money	Burglary  2C:18-2	Motor Vehicle Crash-Bicyclist Struck	Meeting	Animal Bite Incident
Alarm - Other	Applicant Spa Therapy	Car Seat Installation	Motor Vehicle Crash-Bicyclist Struck	General Information	Motor Vehicle Violation - Commercial Vehicle	False Public Alarm - 2C:33-3
fire	Bomb Scare	Applicant Spa Therapy	Court - Superior	Search Warrant Execution	TAPS - ESU - Religious Facility	TAPS - ESU - Parking Garage
Boating Incident	Sex Offender Investigation	Motor Vehicle Crash-Bicyclist Struck	Radar Detail	Pursuit – Motor Vehicle	Missing Person - Adult	Criminal Trespass - 2C:18-3
Property Damage (City Property)	Unlawful Taking  2C:20-10	Search Warrant Execution	Sex Offender-Intent to Move	Contempt of Court  2C:29-9	Motor Vehicle Crash - Police Vehicle	Property Returned - Lost and Found
Service of Warrant	Unlawful Possess./Weapons  2C:39-5	Applicant Solicitor	Shots Fired Investigation	Child Abuse - Title 9	1	Theft of Services - 2C:20-8
Hazardous Road Condition -General	Endangering Welfare  2C:24-4	Applicant Ice Cream Vendor	Bomb Scare	NCIC Record	D.O.A	Bad Checks - 2C:21-5
Prisoner Log 	Duty to Warn-E.D.P.	Juvenile Complaint (Criminal)	Traffic Hazard	ESU-Training	School Crossing	Arrest Process
Car Seat Installation	Street Light	Suspended Registration  39:3-40	Dead Animal	Burglar Tools 2C:5-5	TAPS - ESU - Park	Narcotics Investigation
Hazardous Condition -Health / Welfare	Receiving Stolen Property  2C:20-7	Handle With Care	Counterfeit Money	Hazardous Road Condition –Ice	Field Contact/ Information	Suspicious Activity Report
Funeral Escort	Theft by Deception  2C:20-4	Discovery-Criminal	Stalking  2C:12-10	ESU-Targeted Patrol	Suspicious Activity Report	Abc Violation
Motor Vehicle Violation – Commercial Vehicle	Field Contact/ Information	Mutual Aid – Police	M.V. Master Keys  2C:5-6	Tree limb down	Discovery - Non Specific	Applicant Police Officer 
Applicant Taxi / Limo	Sex Offender Registration-Employment	Suicide	Theft of Lost/Mislaid Property  2C:20-6	Megan's Law Violation	Fight - Unarmed	Criminal Mischief - Graffiti - 2C:17-3
ABC Violation	0	Drinking in Public	Court - Municipal	Criminal Trespass  2C:18-3	School Detail	Esu - Training
Discovery-Criminal	Assault (use **Simple Assault)	0	Prisoner Log 	Prisoner Log 	Discovery - Motor Vehicle	"Relief / Personal
"
Surrender of Weapon	Discovery-Criminal	Official Misconduct  2C:30-2	Sudden Death Investigation	Court- Municipal Prisoner	HAZ-MAT Incident	Hindering Apprehension - 2C:29-3
Criminal Trespass  2C:18-3	Hazardous Road Condition -General	Bias Incident	Child Custody Dispute	Counterfeit Money	General Information	Theft by Deception - 2C:20-4
Parole/Probation Registry	Evidence Delivery / Retrieval	Applicant Police Auxiliary	Surrender of Ammunition	Forgery  2C:21-1	Community Engagement - Emergency Response 	Applicant All Others
Applicant Solicitor	D.O.A	Embezzlment	Applicant All Others	Lewdness  2C:14-4	Service - FRO	Duty To Warn - Notification
Animal Bite Incident	Sudden Death Investigation	False Public Alarm  2C:33-3	Criminal Trespass  2C:18-3	Assault (use **Simple Assault)	Robbery  2C:15-1	Illegal Dumping
Discovery-MotorVehicle	Shooting	Stalking  2C:12-10	0	Bad Checks 2C:21-5	Burglary - Commercial - 2C: 18-2	Community Engagement - Community Policing
General Information	Tree limb down	Court - Municipal	Field Contact/ Information	Information	TAPS - Medical Facility	Court - Superior
Motor Vehicle Crash-Police Vehicle	Hazard-Pothole	ERPO/TERPO	Applicant Spa Therapy	Fingerprints	Abandoned 9-1-1 Emergency	Special Assignment
Megan's Law Violation	Traffic Enforcement Detail	Applicant Peddling/Ad Material License	Discovery-Criminal	Service of Summons	Bias Incident	Burglary - Commercial - 2C:18-2
Unregistered Vehicle  39:3-4	Special Assignment	Prostitution  2C:34-1	Sex Offender Investigation	RDF Deployment	Missing Person - Return - Juvenile	Handle With Care - Notification
Training	Theft by Extortion  2C:20-5	Theft by Deception  2C:20-4	CDS/Dist.; School Property  2C:35-7	Suspended Drivers License  39:3-40	Attempted Burglary 2C:18-2	Violation Of Court Order
D.O.A	Criminal Attempt  2C:5-1	Duty to Warn-E.D.P.	Prostitution  2C:34-1	Suicide	Illegal Dumping	Identity Theft
Motor Vehicle Theft  2C:20-3	Drug Paraphernalia  2C:36-2	Tree limb down	Applicant Ice Cream Vendor	Field Contact/ Information	Missing Person - Return - Adult	Cyber Harassment - 2C:33-4.1
"domestic Dispute
"	Mutual Aid – Police	Stolen Article	Unlawful Possess./Weapons  2C:39-5	Applicant Ice Cream Vendor	Special Assignment	Community Engagement - Crisis Intervention 
Property Disposition	ABC Violation	Property Returned: Lost and Found	Weapons Seizure  2C:25-21d.	Theft of Identity  2C:21-17	Prisoner Log 	Applicant Limo
Robbery  2C:15-1	Applicant Police Auxiliary	Fingerprints	Criminal Sexual Contact  2C:14-3a	Driving While Intoxicated   39:4-50	Theft by Extortion  2C:20-5	Field Contact/ Information
Property Damage (Police Vehicle)	Drinking in Public	Driving While Intoxicated   39:4-50	CDS/Possession: Influence  2C:35-10	Juvenile Complaint (Criminal)	Community Engagement - Public Education	Radio Coverage
Lo-Jack Hit - Tracking Signal	Applicant Ice Cream Vendor	D.P.W. Assist	False Reports  2C:28-4	Traffic Bureau Report	City Ordinance Warning	Surrender Of Weapon
Discovery-Non Specific	False Public Alarm  2C:33-3	Smoking Prohibited	Tree limb down	CCH / III Request	Applicant Jewelry	School Detail
stranded Party	Forgery  2C:21-1	A.C.O.R.N. Test	Truancy	Aggravated Sexual Assault 2C:14-2a	Criminal Mischief - Vehicle - 2C:17-3	TAPS - School
Snow Removal	Criminal Sexual Contact  2C:14-3a	Theft of Lost/Mislaid Property  2C:20-6	Suspended Registration  39:3-40	Child Custody Dispute	Unregistered Vehicle  39:3-4	Service - Ferpo
Expungement	License Plate-Lost/Stolen	Court - Superior	School Detail	U-Visa	Hazardous Road Condition - Flooding	Property Damage - Police Vehicle
Desecration/Venerated Obj.  2C:33-9	Sex Offender-Serve Tier Papers	Sudden Death Investigation	HAZ-MAT Incident	Surrender of Weapon	Stabbing	0
OPRA Request	Computer Issue – Vehicle	Breath Test: Refusal  39:4-50.2	Suspicious Activity Report	Tampering: Public Records  2C:28-7	Counterfeit Money	Hazardous Condition - Health / Welfare
Weapons/Unlawful Purposes  2C:39-4	"Car wash
"	Money Laundering	Applicant Police Auxiliary	CDS/Possession: Influence  2C:35-10	Applicant Limo	ABC Liquor License Applicant
Violation of Court Order	Theft of Identity  2C:21-17	Stranded Party	Applicant Police Officer 	D.O.A	TAPS - ESU - Parking Garage	Disorderly Conduct - 2C:33-2
Surrender of Ammunition	Urinating in Public	Radar Detail	Court Order	Applicant Police Auxiliary	Property Damage - City Property	"Group
"
Computer Issue – Vehicle	Search Warrant Execution	Stabbing	Training Record	Suspended Registration  39:3-40	Driving While Intoxicated 39:4-50	Esu - Response
Stolen Article	Lewdness  2C:14-4	Field Contact/ Information	Lewdness  2C:14-4	Shooting	Community Engagement - School Outreach	Lewdness - 2C:14-4
Photography	Interference With Custody  2C:13-4	U-Visa	Recovered Stolen License Plate	ESU-Response	ABC Inspection	Rdt Deployment
ABC Liquor License Applicant	Photography	Urinating in Public	Temporary Parking	FERPO/TERPO	ABC Advisory Check	Applicant Landscaper
Criminal Attempt  2C:5-1	Suspended Drivers License  39:3-40	Weapons/Unlawful Purposes  2C:39-4	Shooting	A.C.O.R.N. Test	Lewdness  2C:14-4	Forgery - 2C:21-1
Stalking  2C:12-10	Weather Alerts	DCPP (DYFS)	Applicant Jewelry	Theft of Lost/Mislaid Property  2C:20-6	Surrender of Weapon	Parole/Probation Registry
Dead Animal	Court Order	Receiving Stolen Property  2C:20-7	Fight -Armed	ABC Inspection	Fingerprints	Shots Fired Investigation
Search Warrant Execution	Applicant Peddling/Ad Material License	Vacant House	Fingerprints	Stolen Article	Traffic Hazard	Community Engagement - Victim Support
Hazard-Pothole	"Unwanted Person
"	Sex Offender Registration-School Enrollment	Suspended Drivers License  39:3-40	Theft by Extortion  2C:20-5	Burglary - Auto - 2C: 18-2	Docket – Drop Off
Animal Cruelty	Temporary Parking	False Reports  2C:28-4	Stabbing	ESU - Targeted Patrol	TAPS - Other	TAPS - ESU - Religious Facility
Special Assignment	HAZ-MAT Incident	Snow Removal	Sex Offender Annual Address Verification	Service - TERPO	Dead Animal	General Information
Sudden Death Investigation	Arson 2C:17-1	"fraud
"	Search Warrant Execution	UAS Operations	Property Damage - Police Vehicle	Stabbing
Mutual Aid – Police	Prostitution  2C:34-1	Aggravated Sexual Assault 2C:14-2a	Forgery  2C:21-1	Suspicious Activity Report	Hazard - Pothole	Virtual - Patrol
Fight -Armed	False Reports  2C:28-4	Suspended Drivers License  39:3-40	Disorderly Conduct  2C:33-2	Emergency Access Card Use	Facial Recognition Request	Sex Offender-Serve Tier Papers
Drinking in Public	Aggravated Sexual Assault 2C:14-2a		Unsworn Falsification  2C:28-3	Criminal Attempt  2C:5-1	Motor Vehicle Crash - Bicyclist Struck	Sex Offender Registration - Employment
Child Custody Dispute	Discovery-Motor Vehicle		Meeting	Mutual Aid – Police	Hazardous Road Condition - General	Applicant Ice Cream Vendor
Duty to Warn 	Service of Subpoena		Theft by Extortion  2C:20-5	Enticing a Child  2C:13-6	Hazardous Road Condition - Ice	Prostitution - 2C:34-1
Court- Municipal Prisoner	Vacant House		Obstruction of Govermental Function	False Public Alarm  2C:33-3	Applicant Landscaper	Child Custody Dispute
Court Order	Snow Removal		Dogs Defecating	Invasion of Privacy	Applicant Police Officer 	Fingerprints
Tampering: Public Records  2C:28-7	Snow Plowed onto Public Street		Recovered Stolen Article	Service - FERPO	Court Officer	Search Warrant Execution- Structure
Applicant Police Auxiliary	Applicant Towing		Endangering Welfare  2C:24-4	False Reports  2C:28-4	Hostage Situation	Applicant Police Officer
Theft by Extortion  2C:20-5			Conditional Dismissal Process	Property Recovered: Stolen	Criminal Mischief - Graffiti - 2C:17-3	Rdf Deployment
E.D.P.-Duty to Warn			Time Check	Duty to Warn-E.D.P.	Juvenile Complaint (Non-Criminal)	D.O.A
Fireworks Complaint			Street Light	ESU - Training	Arson 2C:17-1	TAPS - ESU - Park
Recovered Stolen License Plate			Service of Subpoena	Canceled Call	CDS/Possession: Influence  2C:35-10	Court - Other Municipality
Sex Offender-Intent to Move			Mutual Aid – Police	Funeral Escort	Hazardous Condition - Sewer Call	Suspended Registration - 39:3-40
Witness Tampering  2C:28-5			Shopping Cart	Sex Offender-Serve Documents	"Desk Coverage
"	Alpr Analysis
Creating a Hazard  2C:40-1			Traffic Bureau Report	Cyber Harassment 2C:33-4.1	Overdose - Adult - Aid	Discovery - Criminal
Tree limb down			Stolen Article	Radar Detail	Sex Offender-Serve Tier Papers	Traffic Detail - Road Closure
Lewdness  2C:14-4			RDF Deployment	Carjacking  2C:15-2	Suspended Registration  39:3-40	Property Returned - Court Ordered
Driving While Intoxicated   39:4-50			FERPO/TERPO	HAZ-MAT Incident	Theft by Deception  2C:20-4	Carjacking - 2C:15-2
Vacant House			Code Blue	Applicant Solicitor	Recovered Stolen License Plate	Child Abuse - Title 9
BOLO			Snow Removal	dispute 	Violation of Court Order	Search Warrant Execution - Cdw
Interference With Custody  2C:13-4			Applicant Solicitor	Violation: TRO/ FRO  2C:29-9b	Handle With Care - Notification	Stranded Party
"Patrol Check
"			Kidnapping  2C:13-1	ANIMAL COMPLAINT 	Criminal Trespass  2C:18-3	Meeting
CCH / III Request				(Child Safety Seat Installation **USE CAR SEAT INSTALL)	Sex Offender - Intent to Move	Oops Investigation
Forgery  2C:21-1				Kidnapping  2C:13-1	Forgery  2C:21-1	Juvenile Complaint (Criminal)
Reckless Endangerment  2C:12-2				Smoking Prohibited	TAPS - Religious Facility	Community Engagement - Crime Prevention
Pawned Item(s)				group 	A.C.O.R.N. Test	Stalking - 2C:12-10
Street Light				Theft	Hazardous Condition - Health / Welfare	Criminal Coercion - 2C:13-5
Generator Test				ESU - Response	Narcotics Investigation	Sex Offender Investigation
Theft of Lost/Mislaid Property  2C:20-6				False Imprisonment  2C:13-3	Fight - Armed	Stolen Article
Hindering Apprehension  2C:29-3				FTO Documentation	Child Custody Dispute	Surrender Of Ammunition
Bias Incident				Applicant Firearm(s)	Criminal Sexual Contact  2C:14-3a	Kidnapping - 2C:13-1
Information				Applicant Pistol Permit	Mutual Aid - Police	Theft by Extortion - 2C:20-5
0				Evidence Delivery / Retrieval	Carjacking  2C:15-2	Interference With Custody - 2C:13-4
Temporary Parking				Suspicious Item	Training Record	Service - Summons
Traffic Bureau Report				Traffic Light Malfunction	Applicant Ice Cream Vendor	Service - Warrant
"robbery  2C:15-1
"				RDT Deployment	Sex Offender - General	Pursuit - Motor Vehicle
Poss. CDS in MV  39:4-49.1				ALPR Analysis	Investigation - Follow-Up	Criminal Mischief - Park - 2C:17-3
Pursuit – Motor Vehicle				Community Engagement	Terroristic Threats 2C:12-3	Applicant Police Auxiliary
Applicant City Employee				Applicant Concealed Carry	Criminal Mischief 2C:17-3	False Reports - 2C:28-4
Shoplifting  2C:20-11 				targer	Violation: TRO/ FRO 2C:29-9b	Service - Subpoena
Hazardous Road Condition -General 				E.D.P	Criminal Trespass 2C:18-3	Overdose - Adult - Aid
Abandoned 9-1-1				T-05	Patrol Check - Extra Duty Detail	Driving While Intoxicated - 39:4-50
Theft From Auto				welfare check 	Theft 2C:20-3	U-Visa
Terroristic Threats  2C:12-3 				Applicant Landscaper	Burglary - Residence 2C:18-2	Tas Alert - Wanted Person
Motor Vehicle Crash-City Police Vehicle				9-1-1 Inform	Theft by Deception 2C:20-4	Arson - 2C:17-1
CDS/Possession: Influence  2C:35-10 				dtask	Simple Assault 2C:12-1a	Information
Records Request - DCPP (DYFS)				Attempt/Burglary  2C:18-2	Sexual Assault 2C:14-2b	Lo-Jack Hit - Tracking Signal
Parole/Probation Registry 				Harassment  2C:33-4p	Cyber Harassment 2C:33-4.1	Tas Alert - Missing Person
Discovery-Criminal 				meal	Shoplifting 2C:20-11	Tas Alert - Stolen Vehicle
Shopping Cart 				Admis	Unlawful Taking 2C:20-10	On-Duty Fitness
Trespass-Criminal				Firearm Qualification	Robbery 2C:15-1	Drinking In Public
Police Assist 				Interference With Custody  2C:13-4	Carjacking 2C:15-2	Attempted Burglary - Residence - 2C:18-2
Violation: TRO/ FRO  2C:25-31 				edp	CDS/Possession: Influence 2C:35-10	Fish And Game Violation  Title 23
Sexual Assault  2C:14-2b 				Utility Incident	Criminal Mischief - Park - 2C:17-3	Applicant Towing
Alarm - Other 				sale of Cigarettes to Minors  2A:170-51	Burglary - Commercial 2C: 18-2	Bomb Scare
Bad Checks 2C:21-5 				Community Engagement - Community Policing	Criminal Sexual Contact 2C:14-3a	Unlawful Possess./Weapons - 2C:39-5
Docket – Pick up 				ABC Advisory Check	Motor Vehicle Theft 2C:20-3	CCH / III Request
Evidence Delivery / Retrieval				"group
"	ABC Violation	BOLO
Suspended Registration  39:3-40				Criminal Simulation  2C:21-2	Unlawful Possess./Weapons 2C:39-5	Training Record
Applicant Spa Therapy				Community Engagement - School Outreach	Theft of Services 2C:20-8	Applicant ABC License (Server)
Applicant Peddling/Ad Material License				unwanted person 	Unregistered Vehicle 39:3-4	Catalytic Converter Theft
Endangering Welfare  2C:24-7				Applicant All Others	Theft of Lost/Mislaid Property 2C:20-6	Alarm Ordinance
Sex Offender-Serve Tier Papers				Applicant Snow Removal 	Court - Superior	DCPP (DYFS)
Applicant Police Officer 				Meeting	Applicant Police Auxiliary	Applicant Taxi
Child Abuse - Title 9				Applicant Peddling License	Parole/Probation Registry	A.c.o.r.n. Test
Juvenile Complaint (Criminal)				Court Officer	Community Engagement - Traffic Safety	Applicant ABC Liquor License (Business)
Duty to Warn-E.D.P.				disturbance 	Constable - Secured Park Facilities	Underage Possession/Consumption - 2C:33-15
Sex Offender Annual Address Verification				Invasion of Privacy (Observing) 	ALPR Analysis	
Utility Incident				Motor Vehicle - Private Property Tow	DNA Sample	
Perjury  2C:28-1				peace officer 	Suspended Drivers License 39:3-40	
Bomb Scare				Academy Assignment	Lewdness 2C:14-4	
Applicant Towing				Applicant Jewelry	Surrender of Ammunition	
Disorderly Conduct  2C:33-2				UAS Operation	Domestic Violence - 2C:25-21	
Receiving Stolen Property  2C:20-7				Applicant Towing	Theft - 2C:20-3	
(Child Safety Seat Installation **USE CAR SEAT INSTALL)				Community Engagement - Online Engagement	Violation: TRO/ FRO - 2C:29-9b	
Medical Emergency				Constable - Secured Park Facilities	Fireworks Complaint	
				Community Engagement 	Shoplifting - 2C:20-11	
				D.P.W. Assist	Suspended Registration - 39:3-40	
				Community Engagement - Public Education	Unregistered Vehicle - 39:3-4	
				Mental Health Call	Harassment - 2C:33-4	
				Snow Removal	Sexual Assault - 2C:14-2b	
					Motor Vehicle Theft - 2C:20-3	
					Theft by Deception - 2C:20-4	
					Simple Assault - 2C:12-1a	
					Unlawful Taking - 2C:20-10	
					Criminal Mischief - 2C:17-3	
					Robbery - 2C:15-1	
					Terroristic Threats - 2C:12-3	
					Criminal Attempt - 2C:5-1	
					CDS/Possession: Influence - 2C:35-10	
					Burglary - Residence - 2C:18-2	
					Criminal Trespass - 2C:18-3	
					Perjury 2C:28-1	
					Alcoholic Beverage - Serving Underage	
					Theft of Services - 2C:20-8	
					Theft by Extortion - 2C:20-5	
					Escape - 2C:29-5	
					Kidnapping - 2C:13-1	
					Discovery - Criminal	
					Theft of Lost/Mislaid Property - 2C:20-6	
					Tampering: Public Records - 2C:28-7	
					Stalking - 2C:12-10	
					Lewdness - 2C:14-4	
					Service - TERPO	
					Property Returned - Lost and Found	
					Property Disposition	
					Service - FERPO	
					Contempt of Court -  2C:29-9	
					Applicant Solicitor	
					Bad Checks - 2C:21-5	
					Criminal Coercion - 2C:13-5	
					Court- Municipal Prisoner	
					Radio Coverage	
					Sudden Death Investigation	
					Community Engagement - Crisis Intervention 	
					Aggravated Assault - 2C:12-1b	
					Weapons - Unlawful Purposes - 2C:39-4	
					Cyber Harassment - 2C:33-4.1	
					Burglary - Auto - 2C:18-2	
					"group
"	
					Radar Detail	
					Community Engagement - Online Engagement	
					Juvenile Complaint (Criminal)	
					Bomb Scare	
					Food/Drug Tampering - 2C:40-17	
					Emergency Access Card Use	
					Sex Offender Investigation	
					"Escort - Money
"	
					Interference With Custody - 2C:13-4	
					Invasion of Privacy - Observing	
					Medical Call 	
					Burglary - Commercial - 2C:18-2	
					Catalytic Converter Theft	
					Applicant Taxi	
					Duty to Warn - Notification	
					Weapons Seizure - 2C:25-21d.	
					Mutual Aid - E.M.S.	
					"Investigation - Follow-Up
"	
					Construction Hours	
					Street Light	
					Paging Device/Illicit Use - 2C:33-20	
					Alcoholic Beverage - Unlicensed Bartender	
					Applicant Vending License	
					Code Blue	
